Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
eTransportation	2590-1168	2590-1168	"ENERGY & FUELS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)"	17	1	1/77	178
Clinical and Molecular Hepatology	2287-2728	2287-285X	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	16.9	1	6/147	179
International Journal of Educational Technology in Higher Education	2365-9440	2365-9440	EDUCATION & EDUCATIONAL RESEARCH(SSCI)	16.7	1	1/756	180
Annual Review of Entomology	0066-4170	1545-4487	ENTOMOLOGY(SCIE)	16.7	1	1/110	181
DIABETES CARE	0149-5992	1935-5548	ENDOCRINOLOGY & METABOLISM(SCIE)	16.6	1	6/191	182
Journal of Advanced Ceramics	2226-4108	2227-8508	"MATERIALS SCIENCE, CERAMICS(SCIE)"	16.6	1	1/33	183
Molecular Cell	1097-2765	1097-4164	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	16.6	1	7/319	184
CANCER RESEARCH	0008-5472	1538-7445	ONCOLOGY(SCIE)	16.6	1	16/326	185
Annual Review of Clinical Psychology	1548-5943	1548-5951	"PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)"	16.5	1	1/185	186
Academy of Management Annals	1941-6520	1941-6067	BUSINESS(SSCI);MANAGEMENT(SSCI)	16.5	1	1/316	187
Lancet Rheumatology	2665-9913	2665-9913	RHEUMATOLOGY(SCIE)	16.4	1	3/58	188
IEEE Geoscience and Remote Sensing Magazine	2473-2397	2168-6831	GEOCHEMISTRY & GEOPHYSICS(SCIE);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(SCIE);REMOTE SENSING(SCIE)	16.4	1	1/65	189
Journal of the National Comprehensive Cancer Network	1540-1405	1540-1413	ONCOLOGY(SCIE)	16.4	1	17/326	190
Green Energy and Intelligent Transportation	2097-2512	2773-1537	TRANSPORTATION SCIENCE & TECHNOLOGY(ESCI)	16.4	1	2/77	191
Science Immunology	2470-9468	2470-9468	IMMUNOLOGY(SCIE)	16.3	1	6/183	192
RENEWABLE & SUSTAINABLE ENERGY REVIEWS	1364-0321	1879-0690	ENERGY & FUELS(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	16.3	1	3/102	193
TRENDS IN GENETICS	0168-9525	1362-4555	GENETICS & HEREDITY(SCIE)	16.3	1	4/191	194
BRITISH JOURNAL OF SPORTS MEDICINE	0306-3674	1473-0480	SPORT SCIENCES(SCIE)	16.2	1	1/133	195
CIRCULATION RESEARCH	0009-7330	1524-4571	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);HEMATOLOGY(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE)	16.2	1	2/98	196
PROGRESS IN AEROSPACE SCIENCES	0376-0421	1873-1724	"ENGINEERING, AEROSPACE(SCIE)"	16.2	1	1/55	197
HUMAN REPRODUCTION UPDATE	1355-4786	1460-2369	OBSTETRICS & GYNECOLOGY(SCIE);REPRODUCTIVE BIOLOGY(SCIE)	16.1	1	1/140	198
Nature Geoscience	1752-0894	1752-0908	"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)"	16.1	1	2/258	199
Applied Mechanics Reviews	0003-6900	2379-0407	MECHANICS(SCIE)	16.1	1	2/171	200
Nature Protocols	1754-2189	1750-2799	BIOCHEMICAL RESEARCH METHODS(SCIE)	16	1	2/86	201
ACS Nano	1936-0851	1936-086X	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)"	16	1	28/460	202
Annual Review of Environment and Resources	1543-5938	1545-2050	ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI)	16	1	3/191	203
Nature Human Behaviour	2397-3374	2397-3374	"MULTIDISCIPLINARY SCIENCES(SCIE);NEUROSCIENCES(SCIE);PSYCHOLOGY, EXPERIMENTAL(SSCI)"	15.9	1	2/102	204
Energy Material Advances	2097-1133	2692-7640	"PHYSICS, APPLIED(ESCI)"	15.9	1	11/187	205
HEPATOLOGY	0270-9139	1527-3350	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	15.8	1	7/147	206
Physical Review X	2160-3308	2160-3308	"PHYSICS, MULTIDISCIPLINARY(SCIE)"	15.7	1	6/114	207
PERIODONTOLOGY 2000	0906-6713	1600-0757	"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)"	15.7	1	1/162	208
SEMINARS IN CANCER BIOLOGY	1044-579X	1096-3650	ONCOLOGY(SCIE)	15.7	1	18/326	209
Journal of the American Chemical Society	0002-7863	1520-5126	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	15.6	1	17/239	210
Lancet Child & Adolescent Health	2352-4642	2352-4642	PEDIATRICS(SCIE)	15.5	1	2/191	211
Journal of Innovation & Knowledge	2530-7614	2444-569X	BUSINESS(SSCI);MANAGEMENT(SSCI)	15.5	1	2/316	212
Information Fusion	1566-2535	1872-6305	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	15.5	1	3/147	213
BMEMat	2751-7438	2751-7446	"MATERIALS SCIENCE, BIOMATERIALS(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)"	15.5	1	3/55	214
INTERNATIONAL MATERIALS REVIEWS	0950-6608	1743-2804	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	15.5	1	29/460	215
Statistics Surveys	1935-7516	1935-7516	STATISTICS & PROBABILITY(ESCI)	15.4	1	1/167	216
TRENDS IN FOOD SCIENCE & TECHNOLOGY	0924-2244	1879-3053	FOOD SCIENCE & TECHNOLOGY(SCIE)	15.4	1	2/181	217
CELL DEATH AND DIFFERENTIATION	1350-9047	1476-5403	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	15.4	1	8/319	218
One Earth	2590-3330	2590-3322	ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	15.3	1	4/191	219
ANNALS OF INTERNAL MEDICINE	0003-4819	1539-3704	"MEDICINE, GENERAL & INTERNAL(SCIE)"	15.2	1	9/332	220
JACC-Cardiovascular Imaging	1936-878X	1876-7591	"CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	15.2	1	1/212	221
Translational Neurodegeneration	2047-9158	2047-9158	NEUROSCIENCES(SCIE)	15.2	1	7/314	222
Mycosphere	2077-7000	2077-7019	MYCOLOGY(SCIE)	15.1	1	3/32	223
npj Digital Medicine	2398-6352	2398-6352	HEALTH CARE SCIENCES & SERVICES(SCIE);MEDICAL INFORMATICS(SCIE)	15.1	1	1/185	224
TRENDS IN NEUROSCIENCES	0166-2236	1878-108X	NEUROSCIENCES(SCIE)	15.1	1	8/314	225
Neuron	0896-6273	1097-4199	NEUROSCIENCES(SCIE)	15	1	9/314	226
Bone Research	2095-4700	2095-6231	CELL & TISSUE ENGINEERING(SCIE)	15	1	2/32	227
JAMA Surgery	2168-6254	2168-6262	SURGERY(SCIE)	14.9	1	1/312	228
Journal of Energy Chemistry	2095-4956	2095-4956	"CHEMISTRY, APPLIED(SCIE);CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE)"	14.9	1	2/75	229
PROGRESS IN LIPID RESEARCH	0163-7827	1873-2194	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);NUTRITION & DIETETICS(SCIE)	14.9	1	1/112	230
TRENDS IN BIOTECHNOLOGY	0167-7799	1879-3096	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	14.9	1	3/177	231
TRENDS IN MICROBIOLOGY	0966-842X	1878-4380	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MICROBIOLOGY(SCIE)	14.9	1	9/319	232
International Journal of Transgender Health	2689-5269	2689-5277	"PSYCHOLOGY, CLINICAL(SSCI);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)"	14.8	1	1/271	233
PROGRESS IN RETINAL AND EYE RESEARCH	1350-9462	1873-1635	OPHTHALMOLOGY(SCIE)	14.7	1	1/98	234
AMERICAN JOURNAL OF PSYCHIATRY	0002-953X	1535-7228	"PSYCHIATRY(SCIE, SSCI)"	14.7	1	5/288	235
ENDOCRINE PATHOLOGY	1046-3976	1559-0097	ENDOCRINOLOGY & METABOLISM(SCIE);PATHOLOGY(SCIE)	14.7	1	2/90	236
Acta Pharmaceutica Sinica B	2211-3835	2211-3843	PHARMACOLOGY & PHARMACY(SCIE)	14.6	1	6/352	237
Science Translational Medicine	1946-6234	1946-6242	"CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	14.6	1	3/195	238
Lancet Healthy Longevity	2666-7568	2666-7568	GERIATRICS & GERONTOLOGY(SCIE)	14.6	1	2/73	239
Nature Reviews Urology	1759-4812	1759-4820	UROLOGY & NEPHROLOGY(SCIE)	14.6	1	4/133	240
Green Energy & Environment	2096-2797	2468-0257	"CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)"	14.6	1	7/175	241
Nature Ecology & Evolution	2397-334X	2397-334X	ECOLOGY(SCIE);EVOLUTIONARY BIOLOGY(SCIE)	14.5	1	2/200	242
Communications in Transportation Research	2772-4247	2772-4247	TRANSPORTATION(SSCI);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)	14.5	1	1/61	243
DRUGS	0012-6667	1179-1950	PHARMACOLOGY & PHARMACY(SCIE);TOXICOLOGY(SCIE)	14.4	1	1/106	244
Qualitative Psychology	2326-3601	2326-3598	"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)"	14.3	1	5/221	245
IEEE Transactions on Intelligent Vehicles	2379-8858	2379-8904	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)"	14.3	1	7/366	246
Nature Astronomy	2397-3366	2397-3366	ASTRONOMY & ASTROPHYSICS(SCIE)	14.3	1	5/84	247
Journal of Materials Science & Technology	1005-0302	1941-1162	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);METALLURGY & METALLURGICAL ENGINEERING(SCIE)"	14.3	1	1/96	248
Physics of Life Reviews	1571-0645	1873-1457	BIOLOGY(SCIE);BIOPHYSICS(SCIE)	14.3	1	1/107	249
Environmental Science and Ecotechnology	2666-4984	2666-4984	ENVIRONMENTAL SCIENCES(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	14.3	1	11/374	250
Autophagy	1554-8627	1554-8635	CELL BIOLOGY(SCIE)	14.3	1	16/204	251
Energy Economics	0140-9883	1873-6181	ECONOMICS(SSCI)	14.2	1	1/617	252
COMPOSITES PART B-ENGINEERING	1359-8368	1879-1069	"ENGINEERING, MULTIDISCIPLINARY(SCIE);MATERIALS SCIENCE, COMPOSITES(SCIE)"	14.2	1	1/175	253
JOURNAL OF MANUFACTURING SYSTEMS	0278-6125	1878-6642	"ENGINEERING, INDUSTRIAL(SCIE);ENGINEERING, MANUFACTURING(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)"	14.2	1	1/106	254
JAMA Cardiology	2380-6583	2380-6591	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	14.1	1	7/230	255
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY	1541-4337	1541-4337	FOOD SCIENCE & TECHNOLOGY(SCIE)	14.1	1	3/181	256
ACADEMY OF MANAGEMENT REVIEW	0363-7425	1930-3807	BUSINESS(SSCI);MANAGEMENT(SSCI)	13.9	1	3/316	257
ARTIFICIAL INTELLIGENCE REVIEW	0269-2821	1573-7462	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)"	13.9	1	7/204	258
TRENDS IN IMMUNOLOGY	1471-4906	1471-4981	IMMUNOLOGY(SCIE)	13.9	1	7/183	259
Journal of Magnesium and Alloys	2213-9567	2213-9567	METALLURGY & METALLURGICAL ENGINEERING(SCIE)	13.8	1	2/96	260
Advances in Applied Energy	2666-7924	2666-7924	ENERGY & FUELS(ESCI)	13.8	1	13/182	261
TRENDS IN MOLECULAR MEDICINE	1471-4914	1471-499X	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	13.8	1	4/195	262
ADVANCES IN PHYSICS	0001-8732	1460-6976	"PHYSICS, CONDENSED MATTER(SCIE)"	13.8	1	6/79	263
International Journal of Mining Science and Technology	2095-2686	2212-6066	MINING & MINERAL PROCESSING(SCIE)	13.7	1	1/33	264
BEHAVIORAL AND BRAIN SCIENCES	0140-525X	1469-1825	"BEHAVIORAL SCIENCES(SCIE);NEUROSCIENCES(SCIE);PSYCHOLOGY, BIOLOGICAL(SSCI)"	13.7	1	2/57	265
Nature Chemical Biology	1552-4450	1552-4469	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	13.7	1	12/319	266
IEEE Journal of Selected Topics in Signal Processing	1932-4553	1941-0484	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	13.7	1	8/366	267
Annual Review of Biophysics	1936-122X	1936-1238	BIOPHYSICS(SCIE)	13.7	1	2/79	268
IEEE TRANSACTIONS ON IMAGE PROCESSING	1057-7149	1941-0042	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	13.7	1	8/366	269
Nature Plants	2055-026X	2055-0278	PLANT SCIENCES(SCIE)	13.6	1	4/273	270
JOURNAL OF CLINICAL INVESTIGATION	0021-9738	1558-8238	"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	13.6	1	5/195	271
Interdisciplinary Medicine	2832-6237	2832-6245	"MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)"	13.6	1	5/195	272
Biochar	2524-7972	2524-7867	ENVIRONMENTAL SCIENCES(SCIE);SOIL SCIENCE(SCIE)	13.5	1	1/48	273
Advances in Methods and Practices in Psychological Science	2515-2459	2515-2467	"PSYCHOLOGY(SCIE);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	13.4	1	6/221	274
NEURO-ONCOLOGY	1522-8517	1523-5866	CLINICAL NEUROLOGY(SCIE);ONCOLOGY(SCIE)	13.4	1	4/285	275
Implementation Science	1748-5908	1748-5908	HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI)	13.4	1	1/124	276
Trends in Environmental Analytical Chemistry	2214-1588	2214-1588	"CHEMISTRY, ANALYTICAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)"	13.4	1	1/111	277
LEUKEMIA	0887-6924	1476-5551	HEMATOLOGY(SCIE);ONCOLOGY(SCIE)	13.4	1	20/326	278
Annual Review of Nutrition	0199-9885	1545-4312	NUTRITION & DIETETICS(SCIE)	13.4	1	2/112	279
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE	1359-0286	1879-0348	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)"	13.4	1	12/187	280
Theranostics	1838-7640	1838-7640	"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	13.3	1	7/195	281
Business Strategy and the Environment	0964-4733	1099-0836	BUSINESS(SSCI);ENVIRONMENTAL STUDIES(SSCI);MANAGEMENT(SSCI)	13.3	1	5/420	282
CARDIOVASCULAR RESEARCH	0008-6363	1755-3245	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	13.3	1	8/230	283
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE	0040-1625	1873-5509	BUSINESS(SSCI);REGIONAL & URBAN PLANNING(SSCI)	13.3	1	1/55	284
Radiology-Artificial Intelligence	2638-6100	2638-6100	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)"	13.2	1	3/212	285
Annual Review of Neuroscience	0147-006X	1545-4126	NEUROSCIENCES(SCIE)	13.2	1	11/314	286
Chemical Engineering Journal	1385-8947	1873-3212	"ENGINEERING, CHEMICAL(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE)"	13.2	1	3/83	287
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY	1064-3389	1547-6537	ENVIRONMENTAL SCIENCES(SCIE)	13.2	1	14/374	288
NUCLEIC ACIDS RESEARCH	0305-1048	1362-4962	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	13.1	1	13/319	289
Journal of Retailing and Consumer Services	0969-6989	1873-1384	BUSINESS(SSCI)	13.1	1	6/316	290
CEMENT AND CONCRETE RESEARCH	0008-8846	1873-3948	"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	13.1	1	1/95	291
Annual Review of Pharmacology and Toxicology	0362-1642	1545-4304	PHARMACOLOGY & PHARMACY(SCIE);TOXICOLOGY(SCIE)	13.1	1	2/106	292
CEMENT & CONCRETE COMPOSITES	0958-9465	1873-393X	"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);MATERIALS SCIENCE, COMPOSITES(SCIE)"	13.1	1	1/95	293
ACS Catalysis	2155-5435	2155-5435	"CHEMISTRY, PHYSICAL(SCIE)"	13.1	1	21/185	294
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS	1389-5567	1873-2739	"CHEMISTRY, PHYSICAL(SCIE)"	13.1	1	21/185	295
Journal of Bioresources and Bioproducts	2097-2415	2369-9698	"MATERIALS SCIENCE, PAPER & WOOD(SCIE)"	13	1	45681	296
Lancet Regional Health-Europe	2666-7762	2666-7762	"HEALTH CARE SCIENCES & SERVICES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	13	1	3/185	297
Journal of Advanced Research	2090-1232	2090-1224	MULTIDISCIPLINARY SCIENCES(SCIE)	13	1	11/135	298
Lancet HIV	2352-3018	2352-3018	IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE)	13	1	3/137	299
HUMAN RESOURCE MANAGEMENT REVIEW	1053-4822	1873-7889	MANAGEMENT(SSCI)	13	1	6/420	300
Annual Review of Earth and Planetary Sciences	0084-6597	1545-4495	"ASTRONOMY & ASTROPHYSICS(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)"	13	1	3/258	301
Foundations and Trends in Information Retrieval	1554-0669	1554-0677	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)"	12.9	1	2/258	302
BIOMATERIALS	0142-9612	1878-5905	"ENGINEERING, BIOMEDICAL(SCIE);MATERIALS SCIENCE, BIOMATERIALS(SCIE)"	12.9	1	5/124	303
EXPERIMENTAL AND MOLECULAR MEDICINE	1226-3613	2092-6413	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	12.9	1	8/195	304
ENDOSCOPY	0013-726X	1438-8812	GASTROENTEROLOGY & HEPATOLOGY(SCIE);SURGERY(SCIE)	12.8	1	2/312	305
INTERNATIONAL JOURNAL OF PLASTICITY	0749-6419	1879-2154	"ENGINEERING, MECHANICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);MECHANICS(SCIE)"	12.8	1	3/182	306
JACC: CardioOncology	2666-0873	2666-0873	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);ONCOLOGY(SCIE)	12.8	1	9/230	307
SmartMat	2766-8525	2688-819X	"CHEMISTRY, MULTIDISCIPLINARY(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)"	12.8	1	39/460	308
Protein & Cell	1674-800X	1674-8018	CELL BIOLOGY(SCIE)	12.8	1	18/204	309
Annual Review of Chemical and Biomolecular Engineering	1947-5438	1947-5446	"CHEMISTRY, APPLIED(SCIE);ENGINEERING, CHEMICAL(SCIE)"	12.8	1	3/75	310
QUARTERLY JOURNAL OF ECONOMICS	0033-5533	1531-4650	ECONOMICS(SSCI)	12.7	1	2/617	311
Microbiome	2049-2618	2049-2618	MICROBIOLOGY(SCIE)	12.7	1	8/163	312
Computer Science Review	1574-0137	1876-7745	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	12.7	1	3/258	313
KIDNEY INTERNATIONAL	0085-2538	1523-1755	UROLOGY & NEPHROLOGY(SCIE)	12.6	1	5/133	314
Analytic Methods in Accident Research	2213-6657	2213-6665	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI);TRANSPORTATION(SSCI)"	12.6	1	10/419	315
TRENDS IN ENDOCRINOLOGY AND METABOLISM	1043-2760	1879-3061	ENDOCRINOLOGY & METABOLISM(SCIE)	12.6	1	8/191	316
TECHNOLOGY IN SOCIETY	0160-791X	1879-3274	"SOCIAL ISSUES(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)"	12.5	1	2/271	317
Science Advances	2375-2548	2375-2548	MULTIDISCIPLINARY SCIENCES(SCIE)	12.5	1	12/135	318
Carbohydrate Polymers	0144-8617	1879-1344	"CHEMISTRY, APPLIED(SCIE);CHEMISTRY, ORGANIC(SCIE);POLYMER SCIENCE(SCIE)"	12.5	1	1/57	319
PHARMACOLOGY & THERAPEUTICS	0163-7258	1879-016X	PHARMACOLOGY & PHARMACY(SCIE)	12.5	1	9/352	320
BIOTECHNOLOGY ADVANCES	0734-9750	1873-1899	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	12.5	1	5/177	321
Carbon Neutrality	2788-8614	2731-3948	ENERGY & FUELS(ESCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(ESCI)	12.5	1	8/102	322
PROGRESS IN QUANTUM ELECTRONICS	0079-6727	1873-1627	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);OPTICS(SCIE);PHYSICS, APPLIED(SCIE);QUANTUM SCIENCE & TECHNOLOGY(SCIE)"	12.5	1	45685	323
Tourism Management	0261-5177	1879-3193	"ENVIRONMENTAL STUDIES(SSCI);HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI);MANAGEMENT(SSCI)"	12.4	1	1/139	324
FOOD HYDROCOLLOIDS	0268-005X	1873-7137	"CHEMISTRY, APPLIED(SCIE);FOOD SCIENCE & TECHNOLOGY(SCIE)"	12.4	1	4/181	325
WATER RESEARCH	0043-1354	1879-2448	"ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE);WATER RESOURCES(SCIE)"	12.4	1	2/131	326
Artificial Intelligence in Agriculture	2097-2113	2589-7217	"AGRICULTURE, MULTIDISCIPLINARY(SCIE);COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)"	12.4	1	1/94	327
AGEING RESEARCH REVIEWS	1568-1637	1872-9649	CELL BIOLOGY(SCIE);GERIATRICS & GERONTOLOGY(SCIE)	12.4	1	3/73	328
Annual Review of Food Science and Technology	1941-1413	1941-1421	FOOD SCIENCE & TECHNOLOGY(SCIE)	12.4	1	4/181	329
FEMS MICROBIOLOGY REVIEWS	0168-6445	1574-6976	MICROBIOLOGY(SCIE)	12.3	1	9/163	330
International Journal of Oral Science	1674-2818	2049-3169	"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)"	12.2	1	2/162	331
COMMUNICATIONS OF THE ACM	0001-0782	1557-7317	"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	12.2	1	1/60	332
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	0924-2716	1872-8235	"GEOGRAPHY, PHYSICAL(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(SCIE);REMOTE SENSING(SCIE)"	12.2	1	1/67	333
CLINICAL PSYCHOLOGY REVIEW	0272-7358	1873-7811	"PSYCHOLOGY, CLINICAL(SSCI)"	12.2	1	3/185	334
Small	1613-6810	1613-6829	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)"	12.1	1	14/187	335
JOURNAL OF BIOMEDICAL SCIENCE	1021-7770	1423-0127	"CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	12.1	1	9/195	336
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING	1134-3060	1886-1784	"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE)"	12.1	1	1/136	337
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION	1089-778X	1941-0026	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	12	1	6/147	338
MOLECULAR THERAPY	1525-0016	1525-0024	"BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	12	1	5/191	339
Clinical Gastroenterology and Hepatology	1542-3565	1542-7714	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	12	1	9/147	340
GLOBAL CHANGE BIOLOGY	1354-1013	1365-2486	BIODIVERSITY CONSERVATION(SCIE);ECOLOGY(SCIE);ENVIRONMENTAL SCIENCES(SCIE)	12	1	1/73	341
IEEE Reviews in Biomedical Engineering	1937-3333	1941-1189	"ENGINEERING, BIOMEDICAL(SCIE)"	12	1	6/124	342
ALLERGY	0105-4538	1398-9995	ALLERGY(SCIE);IMMUNOLOGY(SCIE)	12	1	1/39	343
Sustainable Cities and Society	2210-6707	2210-6715	CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENERGY & FUELS(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	12	1	3/95	344
Advanced Industrial and Engineering Polymer Research	2542-5048	2542-5048	"MATERIALS SCIENCE, COMPOSITES(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);POLYMER SCIENCE(ESCI)"	12	1	3/94	345
